player,COUNT(DISTINCT pt.teamID)
John Gianelli,2
John Johnson,2
John Lambert,3
John Long,2
John Lucas,4
John Lucas III,2
John Mahnken,2
John Mengelt,2
John Morton,2
John Paxson,2
John Salley,4
John Salmons,4
John Shumate,2
John Starks,2
John Thomas,2
John Tresvant,2
John Wetzel,2
John Williams,2
John Williamson,2
Johnny Davis,4
Johnny Dawkins,2
Johnny Egan,3
Johnny Green,2
Johnny McCarthy,2
Johnny Newman,4
Jon Barry,6
Jon Koncak,2
Jon Leuer,2
Jon McGlocklin,2
Jon Sundvold,3
Jonas Jerebko,3
Jonas ValanÄiÅ«nas,3
Jonathon Simmons,2
Jordan Clarkson,2
Jordan Crawford,3
Jordan Farmar,2
Jordan Hill,2
Jorge GutiÃ©rrez,3
Josh Howard,2
Josh McRoberts,4
Josh Powell,4
Josh Richardson,3
Josh Smith,2
JosÃ© CalderÃ³n,5
Jrue Holiday,3
Juan Dixon,3
Juancho HernangÃ³mez,2
Jud Buechler,3
Jumaine Jones,2
Justin Anderson,3
Justin Holiday,2
Justin Jackson,2
Justise Winslow,2
Juwan Howard,5
Juwan Morgan,2
Kareem Abdul-Jabbar,2
Karl Malone,2
Kawhi Leonard,3
Keith Bogans,4
Keith Erickson,3
Keith Van Horn,4
Kelenna Azubuike,2
Kelly Olynyk,2
Kelly Tripucka,2
Kelvin Cato,3
Kelvin Ransey,2
Kemba Walker,3
Ken Norman,2
Kendall Gill,4
Kendrick Perkins,3
Kenneth Faried,2
Kenny Anderson,5
Kenny Carr,2
Kenny Rollins,2
Kenny Sears,2
Kenny Thomas,2
Kent Bazemore,2
Kent Benson,3
Kentavious Caldwell-Pope,2
Kenyon Martin,4
Keon Clark,2
Kermit Washington,2
Kevin Durant,3
Kevin Edwards,2
Kevin Gamble,2
Kevin Garnett,3
Kevin Grevey,2
Kevin Knox,2
Kevin Kunnert,2
Kevin Loughery,2
Kevin Martin,3
Kevin Ollie,3
Kevin Porter,4
Kevin Restani,2
Kevin SÃ©raphin,2
Kevin Williams,2
Kevin Willis,4
Keyon Dooling,4
Khem Birch,2
Kiki Vandeweghe,4
Kirk Hinrich,2
Kleggie Hermsen,2
Kosta Koufos,3
Kris Humphries,4
Kurt Nimphius,4
Kurt Rambis,2
Kurt Thomas,6
Kwame Brown,3
Kyle Anderson,2
Kyle Korver,6
Kyle Lowry,3
Kyle Macy,3
Kyle O'Quinn,2
Kyrie Irving,3
LaMarcus Aldridge,2
LaPhonso Ellis,2
LaSalle Thompson,3
Lamar Odom,3
Lamond Murray,2
Lance Stephenson,2
Landry Fields,2
Landry Shamet,3
Langston Galloway,2
Larry Costello,3
Larry Drew,3
Larry Foust,3
Larry Hughes,4
Larry Johnson,2
Larry Kenon,2
Larry Krystkowiak,3
Larry McNeill,2
Larry Micheaux,2
Larry Nance,2
Larry Nance Jr.,2
Larry Smith,3
Larry Spriggs,2
Latrell Sprewell,3
Lavoy Allen,2
Lawrence Funderburke,2
LeBron James,3
Leandro Barbosa,3
Lee Shaffer,2
Len Chappell,4
Len Elmore,3
Leo Barnhorst,3
Leon Douglas,2
Leon Powe,3
Leon Wood,3
Leonard Gray,2
Leroy Ellis,3
Lester Conner,4
Lew Hitch,2
Lindsey Hunter,4
Linton Townes,2
Lionel Hollins,4
Lloyd Walton,2
Lonnie Shelton,3
Loren Woods,3
Lorenzen Wright,2
Lorenzo Williams,2
Lou Amundson,3
Lou Hudson,3
Lou Williams,5
Louis Orr,2
Loy Vaught,2
Luc Longley,2
Luc Mbah a Moute,3
Lucius Allen,3
Luis Scola,3
Luke Jackson,2
Luke Kennard,2
Luke Ridnour,3
Luol Deng,2
M.L. Carr,2
Major Jones,2
Malcolm Brogdon,2
Malik Allen,5
Malik Beasley,2
Malik Rose,2
Malik Sealy,3
Manute Bol,3
Marc Gasol,3
Marc Iavaroni,3
Marc Jackson,2
Marcin Gortat,2
Marco Belinelli,4
Marcus Banks,2
Marcus Camby,3
Marcus Morris,3
Mario Bennett,2
Mario Elie,5
Mark Aguirre,2
Mark Alarie,2
Mark Bryant,6
Mark Jackson,5
Mark Landsberger,2
Mark Madsen,2
Mark McNamara,2
Mark Olberding,3
Mark Pope,2
Mark West,6
Markelle Fultz,2
Markieff Morris,4
Marquis Daniels,3
Marreese Speights,4
Martell Webster,2
Marty Conlon,2
Marvin Webster,3
Marvin Williams,3
Mason Plumlee,3
Matt Barnes,5
Matt Bullard,2
Matt Geiger,3
Matt Guokas,3
Matt Harpring,3
Matt Thomas,2
Matthew Dellavedova,2
Maurice Cheeks,3
Maurice Evans,5
Maurice Lucas,4
Max Zaslofsky,3
McCoy McLemore,2
Mehmet Okur,2
Mel Counts,2
Mel Payton,2
Melvin Turpin,2
Metta World Peace,4
Meyers Leonard,2
Michael Adams,3
Michael Beasley,3
Michael Cage,2
Michael Carter-Williams,3
Michael Curry,2
Michael Doleac,3
Michael Finley,3
Michael Holton,2
Michael Kidd-Gilchrist,2
Michael Ruffin,2
Michael Smith,2
Michael Stewart,2
Micheal Ray Richardson,2
Micheal Williams,3
MickaÃ«l PiÃ©trus,3
Mickey Johnson,3
Mike Bantom,3
Mike Bibby,4
Mike Bratz,3
Mike Brown,3
Mike Conley,2
Mike Dunleavy,7
Mike Evans,3
Mike Farmer,2
Mike Gale,2
Mike Glenn,3
Mike Gminski,3
Mike James,4
Mike McGee,3
Mike Miller,4
Mike Muscala,2
Mike Riordan,4
Mike Sanders,4
Mike Scott,3
Mike Smrek,2
Mike Sweetney,2
Mike Wilks,2
Mike Woodson,4
Mikki Moore,3
Mirza TeletoviÄ‡,2
Mitch Kupchak,2
Mitch Richmond,3
Mo Williams,4
Monk Meineke,2
Monta Ellis,4
Montrezl Harrell,3
Monty Williams,4
Mookie Blaylock,2
Morris Peterson,2
Moses Malone,4
Muggsy Bogues,3
Mychal Thompson,2
Nando De Colo,2
Nat Clifton,2
Nate Hawthorne,2
Nate Robinson,3
Nate Thurmond,4
Nazr Mohammed,7
Neal Walk,2
Negele Knight,2
Neil Johnson,2
Nemanja Bjelica,3
Nenad KrstiÄ‡,3
NenÃª,3
Nerlens Noel,2
Nick Anderson,2
Nick Collison,2
Nick Jones,2
Nick Van Exel,3
Nick Weatherspoon,2
Nick Young,3
Nicolas Batum,3
Nikola MirotiÄ‡,3
Nikola VuÄeviÄ‡,3
Noah Vonleh,2
Noble Jorgensen,2
Norman Powell,2
Norris Cole,3
O.J. Mayo,2
Odie Spears,3
Olden Polynice,4
Oliver Miller,2
Ollie Johnson,3
Orlando Woolridge,3
Oscar Robertson,2
Othella Harrington,3
Otis Birdsong,3
Otis Smith,2
Otis Thorpe,6
Otto Porter Jr.,2
P.J. Brown,6
P.J. Tucker,4
Pablo Prigioni,3
Pat Burke,2
Pat Connaughton,2
Pat Cummings,3
Pat Garrity,2
Pat Riley,3
Patrick Beverley,3
Patrick Ewing,3
Patrick McCaw,2
Patrick Patterson,3
Patty Mills,3
Pau Gasol,4
Paul George,3
Paul Millsap,4
Paul Mokeski,3
Paul Neumann,3
Paul Noel,2
Paul Pierce,4
Paul Pressey,2
Paul Ruffner,2
Paul Silas,6
Paul Walther,2
Paul Westphal,3
Peja StojakoviÄ‡,4
Pep Saul,2
Perry Moss,2
Pete Maravich,2
Pete Myers,2
Phil Chenier,3
Phil Ford,2
Phil Jackson,2
Phil Jordon,2
Phil Smith,2
Pooh Richardson,2
Precious Achiuwa,2
Purvis Short,2
PÃ©tur GuÃ°mundsson,2
Quentin Richardson,4
Quincy Pondexter,4
Quinn Buckner,2
Quinn Cook,2
Raef LaFrentz,2
Rafer Alston,4
Raja Bell,3
Rajon Rondo,6
Ralph O'Brien,2
Ralph Sampson,2
Ralph Simpson,3
Ramon Sessions,2
Randy Breuer,2
Randy Foye,2
Randy Livingston,3
Randy Smith,2
Randy Wittman,2
Rashard Lewis,3
Rasheed Wallace,3
Rasho NesteroviÄ‡,3
Rasual Butler,5
Raul Neto,3
Ray Allen,4
Ray Felix,3
Ray Lumpp,2
Ray Scott,2
Ray Tolbert,2
Ray Williams,3
Rayjon Tucker,3
Raymond Felton,6
Red Kerr,3
Red Rocha,2
Reggie Bullock,4
Reggie Evans,5
Reggie Jackson,3
Reggie Johnson,3
Reggie Jordan,2
Reggie King,2
Reggie Theus,4
Reggie Williams,2
Rex Chapman,2
Rex Walters,2
Rich Kelley,3
Richard Anderson,3
Richard Hamilton,2
Richard Jefferson,5
Richard Washington,2
Richie Guerin,3
Rick Adelman,3
Rick Barry,3
Rick Brunson,2
Rick Carlisle,2
Rick Fox,2
Rick Mahorn,4
Rick Robey,2
Rickey Green,4
Ricky Pierce,4
Ricky Sobers,3
Robert Covington,3
Robert Horry,3
Robert Pack,4
Robert Parish,4
Robert Reid,2
Robert Smith,3
Robert Traylor,3
Robin Lopez,5
Rod Higgins,3
Rod Strickland,5
Rodney Buford,4
Rodney Hood,3
Rodney McCray,2
Rodney McGruder,2
Rodney Rogers,6
Rodney Stuckey,2
Rodney White,2
Roger Mason,3
Roger Phegley,2
Rolando Blackman,2
Ron Anderson,3
Ron Behagen,2
Ron Brewer,3
Ron Harper,4
Ron Williams,3
Ronald Murray,5
Rondae Hollis-Jefferson,3
Ronnie Brewer,3
Ronnie Lester,2
Ronnie Price,2
Ronny Turiaf,4
Rony Seikaly,3
Rory Sparrow,4
Rowland Garrett,2
Roy Hinson,2
Royal Ivey,3
Ruben Patterson,4
Rudy Gay,2
Rudy LaRusso,3
Rumeal Robinson,3
Russell Westbrook,3
Ryan Anderson,3
Ryan Bowen,3
Ryan Hollins,3
Sam Bowie,3
Sam Cassell,6
Sam Lacey,2
Sam Mitchell,2
Sam Perkins,4
Sam Vincent,2
Sam Williams,2
Sam Young,3
Samaki Walker,3
Samuel Dalembert,3
Sasha PavloviÄ‡,2
Scot Pollard,3
Scott Brooks,4
Scott Burrell,2
Scott Hastings,2
Scott May,2
Scott Padgett,3
Scott Wedman,3
Scott Williams,4
Scottie Pippen,3
Sean Marks,2
Sean Rooks,2
Sedale Threatt,5
Serge Ibaka,4
Seth Curry,4
Shabazz Napier,2
Shai Gilgeous-Alexander,2
Shaler Halimon,2
Shammond Williams,3
Shandon Anderson,3
Shane Battier,3
Shane Larkin,2
Shannon Brown,2
Shaquille O'Neal,6
Shaun Livingston,3
Shavlik Randolph,2
Shawn Kemp,4
Shawn Marion,3
Shawnelle Scott,2
Shelvin Mack,2
Sherman Douglas,2
Si Green,2
Sidney Green,5
Sidney Moncrief,2
Slater Martin,2
Sleepy Floyd,3
Slick Leonard,2
Slick Watts,2
Solomon Hill,4
Speedy Claxton,3
Spencer Dinwiddie,3
Spencer Hawes,4
Spencer Haywood,4
Stacey Augmon,4
Stacey King,2
Stan Love,2
Stanley Johnson,2
Stanley Roberts,3
Stephen Jackson,4
Stephon Marbury,4
Sterling Brown,2
Steve Alford,2
Steve Blake,6
Steve Bracey,2
Steve Colter,4
Steve Hawes,3
Steve Henson,2
Steve Johnson,3
Steve Kerr,4
Steve Mix,2
Steve Nash,3
Steve Novak,4
Steve Smith,5
Steven Adams,2
Steven Hunter,3
Stojko VrankoviÄ‡,2
Stu Lantz,2
Stuart Gray,2
T.J. Ford,3
T.J. Leaf,2
T.J. McConnell,2
T.R. Dunn,3
Taj Gibson,4
Tariq Abdul-Wahad,2
Taurean Prince,2
Tayshaun Prince,2
Ted McClain,3
Terrell Brandon,2
Terrence Ross,2
Terry Catledge,2
Terry Cummings,4
Terry Driscoll,2
Terry Furlow,3
Terry Mills,3
Terry Porter,4
Terry Teagle,3
Terry Tyler,2
Thabo Sefolosha,4
Thaddeus Young,4
Theo Ratliff,4
Thon Maker,2
Tim Bassett,2
Tim Frazier,3
Tim Hardaway,3
Tim Hardaway Jr.,2
Tim Kempton,2
Tim McCormick,4
Tim Thomas,4
Timofey Mozgov,2
TimothÃ© Luwawu-Cabarrot,2
Tiny Archibald,2
Tobias Harris,2
Toby Kimball,3
Todd MacCulloch,2
Togo Palazzi,2
Tom Boswell,3
Tom Chambers,3
Tom Gugliotta,2
Tom Hammonds,2
Tom Hawkins,3
Tom Henderson,2
Tom Kozelko,2
Tom Kropp,2
Tom LaGarde,2
Tom Marshall,2
Tom McMillen,3
Tom Meschery,2
Tom Owens,2
Tom Thacker,2
Toney Douglas,2
Toni KukoÄ,3
Tony Allen,2
Tony Battie,3
Tony Bradley,2
Tony Brown,3
Tony Campbell,4
Tony Delk,6
Tony Massenburg,2
Tony Smith,3
Tony Snell,3
Torrey Craig,2
Tracy McGrady,5
Tracy Murray,3
Travis Best,2
Travis Knight,2
Tree Rollins,5
Trent Tucker,3
Trevor Ariza,6
Trevor Booker,2
Trey Burke,2
Trey Lyles,2
Tristan Thompson,3
Troy Daniels,4
Troy Hudson,2
Troy Murphy,2
Truck Robinson,3
Ty Lawson,3
Tyler Hansbrough,3
Tyler Johnson,2
Tyler Zeller,2
Tyreke Evans,2
Tyrone Corbin,6
Tyrone Hill,3
Tyronn Lue,3
Tyrus Thomas,2
Tyson Chandler,6
Tyus Edney,2
Tyus Jones,2
Uwe Blab,2
Vernon Maxwell,3
Victor Alexander,2
Victor Oladipo,3
Vin Baker,2
Vince Carter,5
Vincent Askew,2
Vinnie Johnson,3
Vinny Del Negro,3
Vitaly Potapenko,3
Vlade Divac,3
Vladimir RadmanoviÄ‡,5
Von Wafer,3
Voshon Lenard,2
Wade Baldwin,2
Wali Jones,3
Wally Szczerbiak,2
Wally Walker,2
Walt Bellamy,3
Walt Davis,2
Walt Hazzard,3
Walt Wesley,3
Walt Williams,3
Walter Berry,2
Walter Davis,3
Walter Dukes,2
Walter McCarty,4
Wang Zhizhi,2
Wayman Tisdale,2
Wayne Cooper,2
Wayne Ellington,3
Wayne Embry,2
Wayne Hightower,2
Wes Matthews,5
Wes Unseld,3
Wesley Matthews,6
Wesley Person,3
Will Barton,2
Will Bynum,2
Will Perdue,3
Willie Anderson,3
Willie Green,4
Willie Naulls,2
Willie Norwood,3
Wilson Chandler,2
Wilt Chamberlain,4
Winston Garland,2
Woody Sauldsberry,2
World B. Free,3
Xavier McDaniel,4
Yakhouba Diawara,2
Zach Randolph,2
Zaid Abdul-Aziz,3
Zaza Pachulia,5
Zelmo Beaty,2
Zydrunas Ilgauskas,2
Ã–mer AÅŸÄ±k,3
Å arÅ«nas JasikeviÄius,2
Å arÅ«nas MarÄiulionis,2
Å½an Tabak,2
Å½eljko RebraÄa,2
